Series;Time;Value
Avg processor CPU;2017-02-08T00:40:00.000Z;56.20849057833354
Avg processor CPU;2017-02-08T00:50:00.000Z;56.21929936408996
Avg processor CPU;2017-02-08T01:00:00.000Z;54.672749265034994
Avg processor CPU;2017-02-08T01:10:00.000Z;55.804403058687846
Avg processor CPU;2017-02-08T01:20:00.000Z;56.239886379241945
Avg processor CPU;2017-02-08T01:30:00.000Z;55.70394888718923
Avg processor CPU;2017-02-08T01:40:00.000Z;56.121759573618576
Avg processor CPU;2017-02-08T01:50:00.000Z;56.22892187436422
Avg processor CPU;2017-02-08T02:00:00.000Z;53.13966201146444
Avg processor CPU;2017-02-08T02:10:00.000Z;52.22940323352813
Avg processor CPU;2017-02-08T02:20:00.000Z;53.27837693691254
Avg processor CPU;2017-02-08T02:30:00.000Z;51.79247868855794
Avg processor CPU;2017-02-08T02:40:00.000Z;53.636219104131065
Avg processor CPU;2017-02-08T02:50:00.000Z;54.76251812775929
Avg processor CPU;2017-02-08T03:00:00.000Z;53.35851231416066
Avg processor CPU;2017-02-08T03:10:00.000Z;54.69055517514547
Avg processor CPU;2017-02-08T03:20:00.000Z;56.138401206334436
Avg processor CPU;2017-02-08T03:30:00.000Z;54.48525142669678
Avg processor CPU;2017-02-08T03:40:00.000Z;56.29317317008972
Avg processor CPU;2017-02-08T03:50:00.000Z;56.20415447552999
Avg processor CPU;2017-02-08T04:00:00.000Z;5.0156718581914905
Avg processor CPU;2017-02-08T04:10:00.000Z;5.020258044203123
Avg processor CPU;2017-02-08T04:20:00.000Z;4.914332577586174
Avg processor CPU;2017-02-08T04:30:00.000Z;4.4375546435515085
Avg processor CPU;2017-02-08T04:40:00.000Z;4.974399262666703
Avg processor CPU;2017-02-08T04:50:00.000Z;4.927581759293874
Avg processor CPU;2017-02-08T05:00:00.000Z;4.543248868981998
Avg processor CPU;2017-02-08T05:10:00.000Z;4.972432023286819
Avg processor CPU;2017-02-08T05:20:00.000Z;5.003209655483564
Avg processor CPU;2017-02-08T05:30:00.000Z;4.562586353222529
Avg processor CPU;2017-02-08T05:40:00.000Z;5.100208833813667
Avg processor CPU;2017-02-08T05:50:00.000Z;4.883490528663
Avg processor CPU;2017-02-08T06:00:00.000Z;4.639904895424843
Avg processor CPU;2017-02-08T06:10:00.000Z;4.954109849532445
Avg processor CPU;2017-02-08T06:20:00.000Z;4.933129987120628
Avg processor CPU;2017-02-08T06:30:00.000Z;4.47172559996446
Avg processor CPU;2017-02-08T06:40:00.000Z;5.020444324612617
Avg processor CPU;2017-02-08T06:50:00.000Z;4.897213171919187
Avg processor CPU;2017-02-08T07:00:00.000Z;4.669192549586296
Avg processor CPU;2017-02-08T07:10:00.000Z;4.961850335200628
Avg processor CPU;2017-02-08T07:20:00.000Z;4.918811137477556
Avg processor CPU;2017-02-08T07:30:00.000Z;4.443924960494042
Avg processor CPU;2017-02-08T07:40:00.000Z;4.990883273879687
Avg processor CPU;2017-02-08T07:50:00.000Z;4.848713422815005
Avg processor CPU;2017-02-08T08:00:00.000Z;4.635950799783071
Avg processor CPU;2017-02-08T08:10:00.000Z;4.969498537977536
Avg processor CPU;2017-02-08T08:20:00.000Z;4.935474307338397
Avg processor CPU;2017-02-08T08:30:00.000Z;4.623905027906099
Avg processor CPU;2017-02-08T08:40:00.000Z;5.129991666475932
Avg processor CPU;2017-02-08T08:50:00.000Z;4.9350139180819195
Avg processor CPU;2017-02-08T09:00:00.000Z;4.685379298528035
Avg processor CPU;2017-02-08T09:10:00.000Z;7.642265523473421
Avg processor CPU;2017-02-08T09:20:00.000Z;5.335171222686768
Avg processor CPU;2017-02-08T09:30:00.000Z;4.452152952551842
Avg processor CPU;2017-02-08T09:40:00.000Z;5.457833341757457
Avg processor CPU;2017-02-08T09:50:00.000Z;7.079608346025149
Avg processor CPU;2017-02-08T10:00:00.000Z;6.947036763032278
Avg processor CPU;2017-02-08T10:10:00.000Z;5.456113384167354
Avg processor CPU;2017-02-08T10:20:00.000Z;5.1199124922355015
Avg processor CPU;2017-02-08T10:30:00.000Z;4.529294940829277
Avg processor CPU;2017-02-08T10:40:00.000Z;5.021707553664843
Avg processor CPU;2017-02-08T10:50:00.000Z;5.06422269642353
Avg processor CPU;2017-02-08T11:00:00.000Z;4.648697982231776
Avg processor CPU;2017-02-08T11:10:00.000Z;4.9279303530852
Avg processor CPU;2017-02-08T11:20:00.000Z;4.942910248041153
Avg processor CPU;2017-02-08T11:30:00.000Z;4.612521141767502
Avg processor CPU;2017-02-08T11:40:00.000Z;5.048070825139681
Avg processor CPU;2017-02-08T11:50:00.000Z;4.93528431157271
Avg processor CPU;2017-02-08T12:00:00.000Z;4.715088113149007
Avg processor CPU;2017-02-08T12:10:00.000Z;4.904744502902031
Avg processor CPU;2017-02-08T12:20:00.000Z;4.940811022122701
Avg processor CPU;2017-02-08T12:30:00.000Z;4.513596028089523
Avg processor CPU;2017-02-08T12:40:00.000Z;4.991010336081187
Avg processor CPU;2017-02-08T12:50:00.000Z;4.9730464220047
Avg processor CPU;2017-02-08T13:00:00.000Z;4.573447672526042
Avg processor CPU;2017-02-08T13:10:00.000Z;4.941837809483211
Avg processor CPU;2017-02-08T13:20:00.000Z;4.931320364276568
Avg processor CPU;2017-02-08T13:30:00.000Z;4.459405572215716
Avg processor CPU;2017-02-08T13:40:00.000Z;4.985100190838178
Avg processor CPU;2017-02-08T13:50:00.000Z;4.952804179986318
Avg processor CPU;2017-02-08T14:00:00.000Z;4.535118098060289
Avg processor CPU;2017-02-08T14:10:00.000Z;4.945462596416474
Avg processor CPU;2017-02-08T14:20:00.000Z;4.951071377595266
Avg processor CPU;2017-02-08T14:30:00.000Z;4.527210264404615
Avg processor CPU;2017-02-08T14:40:00.000Z;5.0857407977183655
Avg processor CPU;2017-02-08T14:50:00.000Z;4.958261932929357
Avg processor CPU;2017-02-08T15:00:00.000Z;4.602049497763316
Avg processor CPU;2017-02-08T15:10:00.000Z;4.990830814838409
Avg processor CPU;2017-02-08T15:20:00.000Z;5.882073234518369
Avg processor CPU;2017-02-08T15:30:00.000Z;5.05675682425499
Avg processor CPU;2017-02-08T15:40:00.000Z;4.993449584643046
Avg processor CPU;2017-02-08T15:50:00.000Z;5.167949641744295
Avg processor CPU;2017-02-08T16:00:00.000Z;4.957225516438484
Avg processor CPU;2017-02-08T16:10:00.000Z;5.108737580974896
Avg processor CPU;2017-02-08T16:20:00.000Z;4.960119320948919
Avg processor CPU;2017-02-08T16:30:00.000Z;4.416180784503618
Avg processor CPU;2017-02-08T16:40:00.000Z;4.96716885169347
Avg processor CPU;2017-02-08T16:50:00.000Z;4.882142460346222
Avg processor CPU;2017-02-08T17:00:00.000Z;4.614024396737417
Avg processor CPU;2017-02-08T17:10:00.000Z;7.722796475887298
Avg processor CPU;2017-02-08T17:20:00.000Z;4.911782931288084
Avg processor CPU;2017-02-08T17:30:00.000Z;4.534905384977659
Avg processor CPU;2017-02-08T17:40:00.000Z;5.1466716488202415
Avg processor CPU;2017-02-08T17:50:00.000Z;4.9134812941153845
Avg processor CPU;2017-02-08T18:00:00.000Z;4.674912482500076
Avg processor CPU;2017-02-08T18:10:00.000Z;5.061920495827993
Avg processor CPU;2017-02-08T18:20:00.000Z;4.893763902783395
Avg processor CPU;2017-02-08T18:30:00.000Z;4.437537351250649
Avg processor CPU;2017-02-08T18:40:00.000Z;5.1139061937729515
Avg processor CPU;2017-02-08T18:50:00.000Z;4.897502392530441
Avg processor CPU;2017-02-08T19:00:00.000Z;4.710212790966034
Avg processor CPU;2017-02-08T19:10:00.000Z;5.01002371708552
Avg processor CPU;2017-02-08T19:20:00.000Z;4.904247842232387
Avg processor CPU;2017-02-08T19:30:00.000Z;4.608761877814929
Avg processor CPU;2017-02-08T19:40:00.000Z;5.520551540454229
Avg processor CPU;2017-02-08T19:50:00.000Z;4.9496000428994495
Avg processor CPU;2017-02-08T20:00:00.000Z;4.697690552473068
Avg processor CPU;2017-02-08T20:10:00.000Z;4.962425344189008
Avg processor CPU;2017-02-08T20:20:00.000Z;4.974075425664584
Avg processor CPU;2017-02-08T20:30:00.000Z;4.4355056126912435
Avg processor CPU;2017-02-08T20:40:00.000Z;4.982926510771115
Avg processor CPU;2017-02-08T20:50:00.000Z;4.8995200832684835
Avg processor CPU;2017-02-08T21:00:00.000Z;4.62701900601387
Avg processor CPU;2017-02-08T21:10:00.000Z;4.886004293958346
Avg processor CPU;2017-02-08T21:20:00.000Z;4.97382441063722
Avg processor CPU;2017-02-08T21:30:00.000Z;4.4505654315153755
Avg processor CPU;2017-02-08T21:40:00.000Z;5.021479240059852
Avg processor CPU;2017-02-08T21:50:00.000Z;4.97112477918466
Avg processor CPU;2017-02-08T22:00:00.000Z;4.846317141254743
Avg processor CPU;2017-02-08T22:10:00.000Z;5.485218390822411
Avg processor CPU;2017-02-08T22:20:00.000Z;4.94318098227183
Avg processor CPU;2017-02-08T22:30:00.000Z;4.4471274276574455
Avg processor CPU;2017-02-08T22:40:00.000Z;4.986009217302005
Avg processor CPU;2017-02-08T22:50:00.000Z;4.932831956942876
Avg processor CPU;2017-02-08T23:00:00.000Z;6.574289015928905
Avg processor CPU;2017-02-08T23:10:00.000Z;7.703223626812299
Avg processor CPU;2017-02-08T23:20:00.000Z;5.133509593208631
Avg processor CPU;2017-02-08T23:30:00.000Z;4.494699531793594
Avg processor CPU;2017-02-08T23:40:00.000Z;4.940499297777812
Avg processor CPU;2017-02-08T23:50:00.000Z;4.93658247590065
Avg processor CPU;2017-02-09T00:00:00.000Z;53.25486792325974
Avg processor CPU;2017-02-09T00:10:00.000Z;54.34360327720643
Avg processor CPU;2017-02-09T00:20:00.000Z;56.21897118886312
Avg processor CPU;2017-02-09T00:30:00.000Z;56.10911355018615
Avg processor CPU;2017-02-09T00:40:00.000Z;55.77531776428222
Avg processor CPU;2017-02-09T00:50:00.000Z;49.854085711638135
Avg processor CPU;2017-02-09T01:00:00.000Z;20.199945511420566
Avg processor CPU;2017-02-09T01:10:00.000Z;19.732660730679832
Avg processor CPU;2017-02-09T01:20:00.000Z;16.564488907655083
Avg processor CPU;2017-02-09T01:30:00.000Z;14.854665168126424
Avg processor CPU;2017-02-09T01:40:00.000Z;12.602909829219183
Avg processor CPU;2017-02-09T01:50:00.000Z;6.0949819684028625
Avg processor CPU;2017-02-09T02:00:00.000Z;5.031773157914479
Avg processor CPU;2017-02-09T02:10:00.000Z;5.227826830744743
Avg processor CPU;2017-02-09T02:20:00.000Z;5.161364913980166
Avg processor CPU;2017-02-09T02:30:00.000Z;4.644883746902147
Avg processor CPU;2017-02-09T02:40:00.000Z;5.1216299811999
Avg processor CPU;2017-02-09T02:50:00.000Z;4.905423241853715
Avg processor CPU;2017-02-09T03:00:00.000Z;4.609212245543798
Avg processor CPU;2017-02-09T03:10:00.000Z;5.143148551384607
Avg processor CPU;2017-02-09T03:20:00.000Z;4.926291673382123
Avg processor CPU;2017-02-09T03:30:00.000Z;4.4199198782444
Avg processor CPU;2017-02-09T03:40:00.000Z;4.9542913943529125
Avg processor CPU;2017-02-09T03:50:00.000Z;4.99554713567098
Avg processor CPU;2017-02-09T04:00:00.000Z;4.591721338033675
Avg processor CPU;2017-02-09T04:10:00.000Z;5.0216844946146
Avg processor CPU;2017-02-09T04:20:00.000Z;5.370668299992879
Avg processor CPU;2017-02-09T04:30:00.000Z;4.648074026902517
Avg processor CPU;2017-02-09T04:40:00.000Z;4.99773867825667
Avg processor CPU;2017-02-09T04:50:00.000Z;4.85440301199754
Avg processor CPU;2017-02-09T05:00:00.000Z;4.657850771149
Avg processor CPU;2017-02-09T05:10:00.000Z;5.069299109776814
Avg processor CPU;2017-02-09T05:20:00.000Z;4.864877143502236
Avg processor CPU;2017-02-09T05:30:00.000Z;4.554735242773633
Avg processor CPU;2017-02-09T05:40:00.000Z;5.175669516126314
Avg processor CPU;2017-02-09T05:50:00.000Z;4.863257490595181
Avg processor CPU;2017-02-09T06:00:00.000Z;4.6571483244498575
Avg processor CPU;2017-02-09T06:10:00.000Z;4.954818146427472
Avg processor CPU;2017-02-09T06:20:00.000Z;4.870994681119919
Avg processor CPU;2017-02-09T06:30:00.000Z;4.4545486748218535
Avg processor CPU;2017-02-09T06:40:00.000Z;5.002884339292844
Avg processor CPU;2017-02-09T06:50:00.000Z;4.930148805181185
Avg processor CPU;2017-02-09T07:00:00.000Z;4.612810399134954
Avg processor CPU;2017-02-09T07:10:00.000Z;4.9968474517265955
Avg processor CPU;2017-02-09T07:20:00.000Z;5.013076407710711
Avg processor CPU;2017-02-09T07:30:00.000Z;5.048702946305275
Avg processor CPU;2017-02-09T07:40:00.000Z;5.0528831044832865
Avg processor CPU;2017-02-09T07:50:00.000Z;4.823040739695231
Avg processor CPU;2017-02-09T08:00:00.000Z;4.650362691283226
Avg processor CPU;2017-02-09T08:10:00.000Z;5.037533209721247
Avg processor CPU;2017-02-09T08:20:00.000Z;5.078634669383367
Avg processor CPU;2017-02-09T08:30:00.000Z;4.4603287746508915
Avg processor CPU;2017-02-09T08:40:00.000Z;4.961113359530767
Avg processor CPU;2017-02-09T08:50:00.000Z;4.9880896697441734
Avg processor CPU;2017-02-09T09:00:00.000Z;4.6410913626352945
Avg processor CPU;2017-02-09T09:10:00.000Z;7.592417612671852
Avg processor CPU;2017-02-09T09:20:00.000Z;4.821929294864336
Avg processor CPU;2017-02-09T09:30:00.000Z;4.252508100867272
Avg processor CPU;2017-02-09T09:40:00.000Z;5.626499816775322
Avg processor CPU;2017-02-09T09:50:00.000Z;4.917941016952197
Avg processor CPU;2017-02-09T10:00:00.000Z;4.830371673901876
